,feature,feature_importances
49,evictions_lag_tr,0.11466717237198758
54,evictions_avg_3yr_lag_tr,0.08254624653733607
58,evictions_avg_5yr_lag_tr,0.07091473011075794
48,eviction_filings_lag_tr,0.06833241562987269
57,eviction_filings_avg_5yr_lag_tr,0.05413785414620262
53,eviction_filings_avg_3yr_lag_tr,0.04543552168402976
50,eviction_rate_lag_tr,0.042959199549112946
51,eviction_filing_rate_lag_tr,0.03576457467877488
60,eviction_filing_rate_avg_5yr_lag_tr,0.03126457634291904
31,pct_renter_occupied_avg_5yr_tr,0.030927267171642264
55,eviction_rate_avg_3yr_lag_tr,0.02551727383135048
59,eviction_rate_avg_5yr_lag_tr,0.023276447921090394
15,pct_renter_occupied_tr,0.021848542968258906
30,renter_occupied_households_avg_5yr_tr,0.015494967344382249
14,renter_occupied_households_tr,0.014757402789604903
7,pct_af_am_tr,0.012597758445870064
56,eviction_filing_rate_avg_3yr_lag_tr,0.01202971314401511
23,pct_af_am_avg_5yr_tr,0.01136483019128942
22,pct_white_avg_5yr_tr,0.010650833364105763
3,median_household_income_tr,0.010526131489056819
16,population_avg_5yr_tr,0.008665809574134636
19,median_household_income_avg_5yr_tr,0.008580368738514161
6,pct_white_tr,0.0075619586021389105
0,population_tr,0.007415315018828675
52,conversion_rate_lag_tr,0.006825965568804556
17,poverty_rate_avg_5yr_tr,0.006213839164320136
21,rent_burden_avg_5yr_tr,0.006168573396611004
36,median_property_value_pct_change_5yr_tr,0.006069840823590839
1,poverty_rate_tr,0.005884687656978979
70,eviction_filing_rate_pct_change_3yr_lag_tr,0.005704289710295047
37,rent_burden_pct_change_5yr_tr,0.005691043147958881
61,conversion_rate_avg_5yr_lag_tr,0.005680026897033929
46,renter_occupied_households_pct_change_5yr_tr,0.005581497043800643
2,median_gross_rent_tr,0.005419431471099938
69,eviction_rate_pct_change_3yr_lag_tr,0.0054109434659887524
32,population_pct_change_5yr_tr,0.0053954867884433546
34,median_gross_rent_pct_change_5yr_tr,0.005272872213485167
35,median_household_income_pct_change_5yr_tr,0.005147899707508443
18,median_gross_rent_avg_5yr_tr,0.00507835995287781
33,poverty_rate_pct_change_5yr_tr,0.005061679105812762
68,evictions_pct_change_3yr_lag_tr,0.004944869679798875
67,eviction_filings_pct_change_3yr_lag_tr,0.004924680288667309
5,rent_burden_tr,0.004923439757711012
4,median_property_value_tr,0.004884016590483756
47,pct_renter_occupied_pct_change_5yr_tr,0.004847505740337833
20,median_property_value_avg_5yr_tr,0.00484638484580299
75,eviction_filing_rate_pct_change_5yr_lag_tr,0.004748687339333053
8,pct_hispanic_tr,0.004735973632926837
38,pct_white_pct_change_5yr_tr,0.0046752205596807175
28,pct_multiple_avg_5yr_tr,0.004561926395908456
72,eviction_filings_pct_change_5yr_lag_tr,0.004520479809107418
26,pct_asian_avg_5yr_tr,0.004492068472389439
29,pct_other_avg_5yr_tr,0.004464473854138378
65,eviction_filing_rate_pct_change_1yr_lag_tr,0.00439285008661618
24,pct_hispanic_avg_5yr_tr,0.004370080233179602
71,conversion_rate_pct_change_3yr_lag_tr,0.004363024267566511
66,conversion_rate_pct_change_1yr_lag_tr,0.004331225725479359
39,pct_af_am_pct_change_5yr_tr,0.0043227574230137586
62,eviction_filings_pct_change_1yr_lag_tr,0.004245425023431293
76,conversion_rate_pct_change_5yr_lag_tr,0.004101942191856908
12,pct_multiple_tr,0.004051218773533448
73,evictions_pct_change_5yr_lag_tr,0.004009537364181946
64,eviction_rate_pct_change_1yr_lag_tr,0.003980516760064466
63,evictions_pct_change_1yr_lag_tr,0.0038601437923849345
40,pct_hispanic_pct_change_5yr_tr,0.003799537366867011
74,eviction_rate_pct_change_5yr_lag_tr,0.003781429933683722
10,pct_asian_tr,0.0035662203200320765
25,pct_am_ind_avg_5yr_tr,0.003393009380603928
44,pct_multiple_pct_change_5yr_tr,0.0033289467222016077
42,pct_asian_pct_change_5yr_tr,0.0032465927180815373
27,pct_nh_pi_avg_5yr_tr,0.002972606697429051
9,pct_am_ind_tr,0.0026480718580870356
13,pct_other_tr,0.002268032507302543
41,pct_am_ind_pct_change_5yr_tr,0.0020744658080245676
45,pct_other_pct_change_5yr_tr,0.0015878009864759006
43,pct_nh_pi_pct_change_5yr_tr,0.0010478837752448695
11,pct_nh_pi_tr,0.0008436055584851786
